instrument_name,tick_size,taker_commission,settlement_period,settlement_currency,rfq,quote_currency,price_index,min_trade_amount,max_liquidation_commission,max_leverage,maker_commission,kind,is_active,instrument_type,instrument_id,future_type,expiration_timestamp,creation_timestamp,counter_currency,contract_size,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,base_currency,strike,option_type
BTC-31MAR23-30000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126284,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,30000.0,put
BTC-31MAR23-35000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126285,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,35000.0,call
BTC-31MAR23-35000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126286,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,35000.0,put
BTC-31MAR23-40000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126287,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,40000.0,call
BTC-31MAR23-40000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126288,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,40000.0,put
BTC-31MAR23-45000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126289,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,45000.0,call
BTC-31MAR23-45000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126290,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,45000.0,put
BTC-31MAR23-50000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126291,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,50000.0,call
BTC-31MAR23-50000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126292,,1680249600000,1648022402000,USD,1.0,0.0001,25.0,0.00015,BTC,50000.0,put
BTC-31MAR23-55000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126605,,1680249600000,1648481400000,USD,1.0,0.0001,25.0,0.00015,BTC,55000.0,call
BTC-31MAR23-55000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126606,,1680249600000,1648481400000,USD,1.0,0.0001,25.0,0.00015,BTC,55000.0,put
BTC-31MAR23-60000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126555,,1680249600000,1648427940000,USD,1.0,0.0001,25.0,0.00015,BTC,60000.0,call
BTC-31MAR23-60000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,126556,,1680249600000,1648427940000,USD,1.0,0.0001,25.0,0.00015,BTC,60000.0,put
BTC-31MAR23-70000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,145384,,1680249600000,1672785252000,USD,1.0,0.0001,25.0,0.00015,BTC,70000.0,call
BTC-31MAR23-70000-P,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,145385,,1680249600000,1672785252000,USD,1.0,0.0001,25.0,0.00015,BTC,70000.0,put
BTC-31MAR23-80000-C,0.0005,0.0003,month,BTC,False,BTC,btc_usd,0.1,,,0.0003,option,True,reversed,145386,,1680249600000,1672785252000,USD,1.0,0.0001,25.0,0.00015,BTC,80000.0,call
